例词id,例词,读音,用法id,词性,词义,例句id,例句,出处,释义,合集
gzss1,昂,,1,动词,仰起，抬起,1,袒胸露乳，矫首昂视,《核舟记》,（佛印）袒露胸脯露出乳头，抬起头往上看,高考实词合集
gzss1,昂,,2,动词,升高，抬高,1,昂其直，居为奇货,《促织》,（市中游侠儿）抬高它的价值，囤积起来当做珍奇的货物,高考实词合集
gzss1,昂,,3,形容词,高,1,令左昂右低，如有首尾然,《礼记·曲礼》,"（排座次时）令左边（地位）高右边（地位）低,像有头尾的样子",高考实词合集
gzss1,昂,,4,形容词,情绪振奋,1,激昂大义，蹈死不顾,《五人墓碑记》,（他们）能被大义所激励，踏上死地也不回头,高考实词合集
gzss1,昂,,5,形容词,形容气势高昂、气度不凡的样子,1,昂昂乎庙堂之器也，果能建伊、皋之业耶？,《卖柑者言》,（那些戴着高帽子，拖着长长带子的人），气宇轩昂的样子（像是）朝廷的有才之士，他们果真能够建立伊尹、皋陶的业绩吗？,高考实词合集
gzss2,傲,,1,形容词,骄傲，傲慢,1,倚南窗以寄傲，审容膝之易安,《归去来兮辞》,靠着南窗来寄托我的傲世情怀，觉得（身居）仅能容纳双膝的陋室反而容易心安,高考实词合集
gzss2,傲,,2,形容词,急躁,1,君子之学，不问而告谓之傲,《劝学》,君子学习，人家没向你求教，你就去教导别人叫做浮躁,高考实词合集
gzss2,傲,,3,动词,轻视，蔑视,1,既得志，则纵情以傲物,《谏太宗十思疏》,得志以后就放纵自己傲慢地对待一切人,高考实词合集
gzss3,包,,1,动词,本义，裹。用纸、布等裹扎东西,1,陶乃以蒲席包菊，捆载数车而去,《聊斋志异》,姓陶的就用蒲席包着菊花，捆扎着装了几车离家而去,高考实词合集
gzss3,包,,2,动词,包含，包容,1,胜败兵家事不期，包羞忍耻是男儿,《题乌江亭》,战争胜败的事是很难预料的，不怕挫折能经受失败打击的才是真正的男子汉。,高考实词合集
gzss3,包,,3,动词,包围，围绕,1,河水分流，包山而过,《水经注·河水》,河水分流了，绕过山流淌下去,高考实词合集
gzss3,包,,4,量词,包装好的一堆单件,1,五官掾献橘数包,《后汉书·杨由传》,五官掾献上几包橘子,高考实词合集
gzss4,比,,1,名词,《诗经》“六义”之一：比喻,1,一曰风，二曰赋，三曰比，四曰兴，五曰雅，六曰颂,《诗·大序》,一是风，二是赋，三是比，四是兴，五是雅，六是颂,高考实词合集
gzss4,比,,2,动词,本义：并列，排列,1,因出己虫，纳比笼中,《促织》,于是取出自己的蟋蟀，放进比试的笼子里,高考实词合集
gzss4,比,,3,动词,靠近，挨着,1,其两膝相比者,《核舟记》,他们的互相靠近的两膝,高考实词合集
gzss4,比,,4,动词,比较，相比,1,欲把西湖比西子，淡妆浓抹总相宜,《饮湖上初晴后雨》,想把美丽的西湖比作美人西施，淡妆也好，浓妆也罢，总能很好地烘托出她的天生丽质和迷人神韵,高考实词合集
gzss4,比,,5,动词,比拟,1,每自比于管仲，乐毅,《隆中对》,经常把自己跟管仲和乐毅相作比较,高考实词合集
gzss4,比,,6,动词,勾结，偏袒,1,君子周而不比，小人比而不周,《论语·为政》,"君子有包容之心但不亲密勾结；小人亲密勾结,但却并无包容之心",高考实词合集
gzss4,比,,7,介词,及，等到,1,比去，以手阖门,《项脊轩志》,等到离开的时候，（他）用手关门,高考实词合集
gzss4,比,,8,介词,比，比起（与今义相同）,1,今虽死乎此，比吾乡邻之死则已后矣,《捕蛇者说》,现在（我）即使死在这差事上，比起我的乡邻们已经死在他们后面了,高考实词合集
gzss5,鄙,,1,名词,边境，边远的地方,1,人之立志，顾不如蜀鄙之僧哉？,《为学》,"一个人立志求学,难道还不如四川边境的那个穷和尚吗?",高考实词合集
gzss5,鄙,,2,名词,自称的谦辞，鄙人,1,恩（人名）益自谦益，与人语，常呼位官，自称鄙人,《南史·蒯恩传》,蒯恩自己更加谦虚，跟别人说话，常常称呼（对方的）官位，称呼自己为鄙陋之人,高考实词合集
gzss5,鄙,,3,动词,看不起，轻视,1,孔子鄙其小器,《训俭示康》,孔子鄙视他器量小,高考实词合集
gzss5,鄙,,4,形容词,粗俗,1,人贱物亦鄙，不足迎后人,《古诗为焦仲卿妻作》,我人低贱，东西也不值钱，不配拿去迎接你日后再娶的妻子,高考实词合集
gzss5,鄙,,5,形容词,浅陋,1,肉食者鄙，未能远谋,《曹刿论战》,食肉的统治者浅陋，不能够长远地谋划,高考实词合集
gzss6,兵,,1,名词,兵器，军械,1,今南方已定，兵甲已足,《出师表》,现在南方已经安定，兵器铠甲已经充足,高考实词合集
gzss6,兵,,2,名词,士兵，士卒,1,昨夜见军帖，可汗大点兵,《木兰诗》,（木兰）昨天晚上看见军中文书，可汗大规模地征兵,高考实词合集
gzss6,兵,,3,名词,军队,1,项羽兵四十万,《鸿门宴》,项羽军队四十万,高考实词合集
gzss6,兵,,4,名词,军事，战争,1,兵，死地也，而括易言之,《纸上谈兵》,用兵打仗，是关乎生死的事情，然而赵括却把这事说得那么容易,高考实词合集
gzss6,兵,,5,名词,战略，战术,1,故上兵伐谋，其次伐交,《孙子·谋攻》,所以好的战略是用战略讨伐，其次的战略是用各种外交手段战胜敌人,高考实词合集
gzss6,兵,,6,动词,用兵器杀人，武力征服胁迫,1,曹公，豺虎也，兵天子以征四方，动以朝廷为辞,《赤壁之战》,曹操是豺狼猛虎，用武力胁迫天子来征伐四方，动不动就用朝廷当做借口,高考实词合集
gzss7,病,,1,名词,疾病,1,臣少多疾病,《陈情表》,我小时候经常生病,高考实词合集
gzss7,病,,2,名词,弊病，缺点,1,人皆嗤吾固陋，吾不以为病,《训俭示康》,人们都嘲笑我固执不通达，我不认为这是缺点,高考实词合集
gzss7,病,,3,形容词,受困,1,向吾不为斯役，则久已病矣,《捕蛇者说》,之前我不做这个差事，那么我早就已经困苦不堪了,高考实词合集
gzss7,病,,4,形容词,疲惫,1,今日病矣，余助苗长矣,《我善养吾浩然之气》,今天疲惫极了，我帮助禾苗长高了,高考实词合集
gzss7,病,,5,动词,生病，患……病,1,余久卧病无聊,《项脊轩志》,我一直卧病在床，没有寄托,高考实词合集
gzss7,病,,6,动词,责备，羞辱,1,古人以俭为美德，今人乃以俭相诟病,《训俭示康》,古人把节俭当做美德，现在的人却因为节俭互相责备,高考实词合集
gzss7,病,,7,动词,使……病,1,以夭梅、病梅为业以求钱,《病梅馆记》,（他们）把使梅花弯曲、呈病态作为职业来谋求钱财,高考实词合集
gzss7,病,,8,动词,忧虑，苦恼，为……担心,1,士生于世，使其中不自得，将何往而非病？,《黄州快哉亭记》,读书人生活在世上，如果他的内心不能自己得意或舒适，他去往何处而不会有忧虑呢？（“将”表示反问）,高考实词合集
gzss8,察,,1,动词,观察，细看,1,徐而察之，则山下皆石穴罅,《《石钟山记》,（我们）慢慢观察它，发现山下都是石洞和石缝,高考实词合集
gzss8,察,,2,动词,明察，了解，调查，弄清楚,1,小大之狱，虽不能察，必以情。,《出师表》,大大小小的案件，即使不能明察，也一定根据实情（处理）,高考实词合集
gzss8,察,,3,动词,考虑，考察,1,前太守臣逵察臣孝廉,《陈情表》,前任太守，大臣逵考察举荐我为孝廉（孝顺父母、品行方正的人）,高考实词合集
gzss8,察,,4,形容词,精明，明显,1,水至清则无鱼，人至察则无徒。,《汉书·东方朔传》,水太清澈就没有鱼，人精明到了极点就没有朋友,高考实词合集
gzss9,彻,,1,动词,本义，撤除，撤去,1,合肥未下，彻军还,《三国志》,合肥还没有攻下，（孙权）撤退军队返回,高考实词合集
gzss9,彻,,2,动词,通达，明白,1,汝心之固，固不可彻,《愚公移山》,你思想顽固到了不可通达的地步,高考实词合集
gzss9,彻,,3,动词,穿透，贯通,1,日光下彻，影布石上,《小石潭记》,阳光向下穿透（小潭），（鱼的）影子映在（水底的）石面上,高考实词合集
gzss9,彻,,4,动词,结束，终了,1,自经丧乱少睡眠，长夜沾湿何由彻,《茅屋为秋风所破歌》,（我）自从经历了动乱之后（就）缺少睡眠，漫漫长夜屋漏床湿靠什么终了呢？,高考实词合集
gzss9,彻,,5,形容词,通，达,1,目彻为明，耳彻为聪，鼻彻为颤，口彻为甘，心彻为知，知彻为德,《庄子》,眼光敏锐叫做明，耳朵灵敏叫做聪，鼻子灵敏叫做膻，口感灵敏叫做甘，心灵透彻叫做智，聪明贯达叫做德,高考实词合集
gzss10,乘,,1,动词,驾，御，乘坐,1,虽乘奔御风不以疾也,《三峡》,即便骑着奔驰的快马，驾着风，也比不上它快,高考实词合集
gzss10,乘,,2,动词,冒着,1,自京师乘风雪，历齐河、长清,《登泰山记》,（我）从京城冒着风雪，经过齐河、长清,高考实词合集
gzss10,乘,,3,动词,本义，登，升,1,乘鄂渚而反顾兮,《楚辞·涉江》,（我）登上鄂渚，回头遥望,高考实词合集
gzss10,乘,,4,动词,交错出现,1,兵旱相乘，天下大屈,《论积贮疏》,战争干旱交错出现，天下的财富极其缺乏,高考实词合集
gzss10,乘,,5,介词,趁着，凭借,1,因利乘便，宰割天下,《过秦论》,（秦国）凭借有利的地形，割取天下的土地,高考实词合集
gzss10,乘,,6,名词,古时一车四马为以乘,1,秦以区区之地，致万乘之势,《过秦论》,秦国凭借小小的地方，达到了（拥有）万辆兵车的形势,高考实词合集
gzss10,乘,,7,量词,辆,1,车六七百乘，骑千余，卒数万人,《陈涉世家》,六七百辆车，一千多骑兵，好几万步兵,高考实词合集
gzss10,乘,,8,数词,四,1,郑商人弦高将市于周，遇之，以乘韦先，牛十二犒师,《秦晋崤之战》,郑国商人弦高将要到周国做生意，遇到秦师，先用四张熟牛皮，再用十二头牛犒劳对方的军队,高考实词合集
gzss11,从,,1,动词,本义，跟从，跟随,1,可以一战，战则请从,《曹刿论战》,可以凭借（这个条件）打一仗，（如果）作战（那么）就请允许我跟从,高考实词合集
gzss11,从,,2,动词,使……跟从，使……跟随,1,沛公旦日从百余骑来见项王,《鸿门宴》,刘邦第二天早晨使一百多人马跟从他来见项羽,高考实词合集
gzss11,从,,3,动词,听从，顺从,1,小惠未徧，民弗从也,《曹刿论战》,这种小恩小惠不能遍及百姓，百姓是不会顺从你的,高考实词合集
gzss11,从,,4,动词,参加，从事,1,弟走从军阿姨死，暮去朝来颜色故,《琵琶行（并序）》,弟弟去参军，阿姨（指老鸨）死了，一天天过去（我的）容貌衰老了,高考实词合集
gzss11,从,,5,介词,自，由,1,从小丘西行百二十步，隔篁竹，闻水声，如鸣佩环,《小石潭记》,自小丘向西走一百二十多步，隔着竹林，可以听到流水的声音，好像人身上佩戴的玉佩相互碰击发出的声音,高考实词合集
gzss11,从,,6,形容词,从容：舒缓，不急迫,1,然皆祖屈原之从容辞令，终莫敢直谏,《屈原列传》,但他们都效法屈原辞令委婉的一面，始终不敢直言进谏,高考实词合集
gzss11,从,,7,名词,堂房亲属，堂弟兄、伯、叔父等,1,升死，其印为予群从所得，至今保藏,《活板》,毕昇死后，他的字印被我的堂兄弟和侄辈得到了，到现在还保存得十分完好,高考实词合集
gzss11,从,,8,名词,通“纵”，南北为纵,1,合从缔交，相与为一,《过秦论》,（六国）采用合纵的策略缔结盟约，互相援助，成为一体,高考实词合集
gzss12,当,,1,动词,对着，面对,1,当窗理云鬓，对镜贴花黄,《木兰诗》,（我）面对着窗子整理像云一样柔美的秀发，对着镜子在额上贴好花黄,高考实词合集
gzss12,当,,2,动词,阻挡，抵挡,1,料大王足以当项王乎？,《鸿门宴》,估计大王的军队足够用来抵挡项王吗？,高考实词合集
gzss12,当,,3,动词,相当，对等,1,匈奴使来，汉亦留之以当,《苏武传》,匈奴使节前来，汉朝廷也扣留了相应人来抵押,高考实词合集
gzss12,当,,4,动词,执掌，主持,1,猥以微贱，当侍东宫,《陈情表》,我凭借卑微低下的身份，担当侍奉太子的任务,高考实词合集
gzss12,当,,5,动词,承担，承受,1,念窦娥葫芦提当罪愆,《窦娥冤》,想着我窦娥糊里糊涂地承担了罪名,高考实词合集
gzss12,当,,6,动词,判罪,1,吏当广所失亡多，为虏所生得,《李将军列传》,执法官判决李广损失伤亡的士兵太多，（他自己又）被敌人活捉,高考实词合集
gzss12,当,,7,动词,应当，应该,1,当奖率三军，北定中原,《出师表》,（陛下）应该勉励率领三军，北上平定中原,高考实词合集
gzss12,当,,8,动词,抵押，抵挡,1,募有能捕之者，当其租入,《捕蛇者说》,（朝廷）招募能够捕蛇的人，（用蛇来）抵充他的赋税,高考实词合集
gzss12,当,,9,介词,正当，在,1,今当远离，临表涕零，不知所言,《出师表》,现在（我）正要远离陛下，面对这份奏表，禁不住流泪不止，不知道说的什么,高考实词合集
gzss12,当,,10,形容词,恰当，适合，合宜,1,甚善，名我固当。,《种树郭橐驼传》,（这个名字）很好啊，称呼我确实恰当,高考实词合集
gzss13,道,,1,名词,路，道路,1,郡县逼迫，催臣上道,《陈情表》,郡县长官逼迫、催促我立刻上路,高考实词合集
gzss13,道,,2,名词,方法，途径,1,深谋远虑，行军用兵之道,《过秦论》,深远谋划考虑，行军用兵的方法,高考实词合集
gzss13,道,,3,名词,道理，规律,1,师者，所以传道受业解惑也,《师说》,老师，是可以用来传授道理、教授学业、解答疑难问题的人,高考实词合集
gzss13,道,,4,名词,道德，道义,1,彼与彼年相若也，道相似也,《师说》,他和他年龄差不多，道德学问也差不多,高考实词合集
gzss13,道,,5,名词,思想，学说，制度,1,于是废先王之道，焚百家之言，以愚黔首,《过秦论》,（秦始皇）接着就废除古代帝王的治世的思想，焚烧诸子百家的著作，来使百姓愚蠢,高考实词合集
gzss13,道,,6,名词,世道，风尚,1,师道之不传也久矣,《师说》,从师的风尚不流传很久了,高考实词合集
gzss13,道,,7,动词,取道,1,从骊山下，道芷阳间行,《鸿门宴》,（刘邦）从骊山下山，取道芷阳，抄小路走,高考实词合集
gzss13,道,,8,动词,说，谈论,1,不足为外人道也,《桃花源记》,（我们这个地方）不值得对外人说啊,高考实词合集
